"구분","정책 ID","정책 기준","구현/테스트 기준","참고 근거"
"체크인","POL-CHECKIN-01","체크인 가능 시간은 예약 시작 30분 전부터 예약 시작 10분 후까지로 한다. 기준 표기는 체크인 창: -30분~+10분이다.","시작 31분 전 체크인 실패, 시작 30분 전 성공, 시작 10분 후 성공, 시작 11분 후 실패 테스트","Robin은 기본 노쇼 임계값 10분을 사용하고, Skedda는 체크인 창을 정책으로 설정한다."
"체크인","POL-CHECKIN-02","예약 시작 30분 이내에 생성된 즉시 예약은 예약 생성 시 체크인 필요 여부를 안내하고, 사용자가 곧바로 체크인할 수 있게 한다.","교수 즉시 예약 생성 후 체크인 버튼 표시 확인","Skedda는 체크인 창이 열린 뒤 만들어진 짧은 예약을 자동 체크인 대상으로 다룰 수 있다."
"노쇼","POL-NOSHOW-01","학생 예약은 시작 10분 후까지 미체크인 상태이면 NO_SHOW 상태로 바꾸고 자동 취소할 수 있다.","승인 예약 시작+11분 시뮬레이션 후 상태가 CANCELLED_NO_SHOW 또는 NO_SHOW_CANDIDATE로 바뀌는지 테스트","Robin은 체크인하지 않으면 방을 자동 해제하는 abandoned meeting protection을 제공한다."
"노쇼","POL-NOSHOW-02","교수 예약은 수업/보강 영향이 크므로 자동 취소하지 않고 NO_SHOW_CANDIDATE로 표시한 뒤 관리자가 취소 여부를 결정한다.","교수 예약 미체크인 시 자동 취소되지 않고 관리자 화면에 후보로 표시되는지 테스트","수업 프로젝트의 이해관계자 위험을 줄이기 위한 PM 결정"
"층별 혼잡도","POL-OCC-01","혼잡도는 선택 날짜와 운영 시간 기준으로 (정규 강의 시간 + 승인 예약 시간 + 사용 불가 시간) / 전체 예약 가능 시간 * 100 으로 계산한다.","예약/강의 시간을 분 단위로 합산하여 0~100% 값이 나오는지 테스트","Microsoft Places와 Skedda는 예약/사용률 데이터를 공간 활용 분석에 사용한다."
"층별 혼잡도","POL-OCC-02","전체 예약 가능 시간은 해당 층의 활성 강의실 수 * 운영 시간으로 계산한다. 기본 운영 시간은 09:00~22:00이다.","활성 강의실 3개면 하루 총 가능 시간이 3*13시간으로 계산되는지 테스트","학교 강의실 운영 현실을 반영한 프로젝트 기준"
"층별 혼잡도","POL-OCC-03","혼잡도 등급은 0~39% 여유, 40~69% 보통, 70~89% 혼잡, 90~100% 매우 혼잡으로 표시한다.","각 경계값 39, 40, 69, 70, 89, 90 테스트","발표와 UI 이해도를 높이기 위한 PM 기준"
"공간 사용률","POL-OCC-04","강의실별 사용률은 선택 기간의 승인 예약 시간과 정규 강의 시간을 합산한 뒤 해당 강의실의 전체 운영 가능 시간으로 나누어 계산한다.","특정 강의실의 일/주/월 사용률이 분 단위 합산으로 계산되는지 테스트","Microsoft Places와 Skedda는 예약 데이터를 공간 활용 분석에 사용한다."
"권한","POL-AUTH-01","권한표에 없는 요청은 기본 거부한다.","학생이 승인 API 호출 시 거부되는지 테스트","OWASP Authorization은 least privilege와 deny by default를 권장한다."
"권한","POL-AUTH-02","본인 데이터가 필요한 기능은 역할뿐 아니라 소유자 ID를 함께 검사한다.","학생 A가 학생 B 예약을 취소하려 하면 실패하는지 테스트","OWASP Authorization은 매 요청 권한 검증을 권장한다."
"예약 변경","POL-CHANGE-01","예약 변경 요청은 예약 시작 1시간 전까지만 가능하며, 변경 승인 전에는 기존 예약을 유지한다.","예약 시작 59분 전 변경 요청 실패, 60분 전 변경 요청 성공 테스트","수업 직전 혼란을 줄이기 위한 운영 기준"
"예약 변경","POL-CHANGE-02","관리자가 변경 요청을 승인할 때는 시간 충돌, 역할별 최대 예약 시간, 학생 정원 50% 규칙을 다시 검사한다.","충돌 강의실로 변경 승인 시 실패 테스트","기존 예약 정책과 변경 정책의 일관성 확보"
"대기 승격","POL-WAIT-01","빈 시간이 생기면 동일 강의실/동일 시간대 대기 신청 중 신청 시각이 가장 빠르고 현재 예약 정책을 통과하는 신청을 우선 승격한다.","대기 신청 2건 생성 후 먼저 신청한 건이 승격되는지 테스트","공정한 대기열 처리 기준"
