"SRS ID","기능 묶음","이해관계자","소프트웨어 요구사항","비고"
"SFR-000","강의실 예약 현황 조회","학생, 교수, 관리자","시스템은 정보관 1층부터 9층까지의 강의실 예약 현황을 기능별 메뉴에서 조회할 수 있어야 한다.","원본 SFR-000 의미 보존"
"SFR-100","계정/권한","학생, 교수, 관리자","사용자는 계정 ID와 비밀번호로 로그인하고 로그아웃할 수 있어야 하며, 서버는 학생, 교수, 관리자 역할을 식별해야 한다.","기능 묶음"
"SFR-101","계정/권한","학생, 교수, 관리자","서버는 모든 요청에 대해 인증, 세션 만료, 역할 권한, 본인 소유 데이터 여부를 검사해야 한다.","OWASP"
"SFR-102","계정/권한","학생, 교수, 관리자","클라이언트는 로그인한 역할에 따라 예약 신청, 승인, 시간표 관리, 백업 같은 메뉴를 다르게 표시해야 한다.","Swing UI"
"SFR-200","강의실/시설 관리","학생, 교수, 관리자","시스템은 정보관 1층부터 9층까지의 건물-층-공간-시설 구조로 층, 호실, 강의실 유형, 수용 인원, 시설 정보를 관리해야 한다.","추가"
"SFR-201","강의실/시설 관리","학생, 교수, 관리자","초기 데이터에는 설계지침서의 9층 대상 호실인 908호, 911호, 912호, 913호, 914호, 915호, 916호, 918호가 포함되어야 한다.","설계지침서"
"SFR-202","강의실/시설 관리","학생, 교수, 관리자","사용자는 층, 수용 인원, 강의실 유형, 빔프로젝터, PC, 전자칠판, 화이트보드, 콘센트, 충전 가능 좌석, 멀티탭 또는 충전기 대여 가능 여부, 휠체어 접근 가능 여부로 강의실을 검색할 수 있어야 한다.","Google 구조화 자원 참고"
"SFR-203","강의실/시설 관리","관리자","관리자는 정보관의 층, 강의실, 시설, 수용 인원, 콘센트 수, 충전 가능 좌석 수, 장비 상태 정보를 등록, 수정, 비활성화할 수 있어야 하며 기존 예약 또는 시간표와 연결된 강의실은 즉시 삭제할 수 없어야 한다.","참조 무결성"
"SFR-204","강의실/시설 관리","학생, 교수","사용자는 예약 전 강의실 상세 화면에서 콘센트 위치 설명, 충전 가능 좌석 여부, 충전 관련 비품 대여 가능 여부, 장비 고장 여부를 확인할 수 있어야 한다.","매력적 요구사항"
"SFR-205","강의실/시설 관리","학생, 교수, 관리자","사용자는 강의실의 콘센트 고장, PC 문제, 빔프로젝터 문제, 청결 문제를 신고할 수 있으며, 관리자는 신고 접수, 처리 중, 처리 완료 상태를 관리할 수 있어야 한다.","시설 불편 신고"
"SFR-206","강의실/시설 관리","관리자","관리자는 시설 신고 상태를 접수, 처리 중, 처리 완료, 반려 중 하나로 변경할 수 있어야 하며 상태 변경 시 처리 메모와 처리자를 기록해야 한다.","시설 신고 상태 흐름"
"SFR-207","강의실/시설 관리","학생, 교수, 관리자","시스템은 강의실별 콘센트 수, 충전 가능 좌석 수, 콘센트 위치 설명, 충전 관련 비품 대여 가능 여부를 파일에 저장하고 조회할 수 있어야 한다.","충전/콘센트 기준"
"SFR-300","시간표/현황 조회","학생, 교수, 관리자","사용자는 강의가 있는 강의실 또는 실습실의 강의 현황과 예약 현황을 일별, 주별, 월별로 조회할 수 있어야 한다.","STR-001"
"SFR-301","시간표/현황 조회","학생, 교수, 관리자","현황 화면은 정규 강의, 승인 예약, 대기 예약, 취소 예약을 구분하여 표시하고 시간 순서 또는 예약 순서로 정렬할 수 있어야 한다.","Template Method"
"SFR-302","시간표/현황 조회","학생, 교수, 관리자","시스템은 선택한 건물, 층, 강의실, 날짜 범위에 대해 빈 시간대를 계산하고 예약 전 충돌 가능성을 미리 보여주어야 한다.","현업식 예약 UX"
"SFR-303","시간표/현황 조회","관리자","관리자는 학년도와 학기별로 강의 시간표를 등록, 수정, 삭제할 수 있어야 하며, 같은 강의실의 시간 중복을 서버에서 차단해야 한다.","STR-012"
"SFR-304","시간표/현황 조회","학생, 교수, 관리자","시스템은 층별 혼잡도를 선택한 날짜와 운영 시간 기준으로 계산하여 여유, 보통, 혼잡, 매우 혼잡 중 하나로 표시해야 한다.","층별 혼잡도 기준"
"SFR-400","예약 신청/시설 확인","교수","교수는 보강 목적으로 빈 강의실을 최대 3시간까지 예약할 수 있어야 하며, 예약 결과는 즉시 현황에 반영되어야 한다.","STR-002"
"SFR-401","예약 신청/시설 확인","교수","교수는 세미나 또는 학생 지도 목적으로 빈 강의실을 최대 3시간까지 예약할 수 있어야 하며, 사용 목적과 참석 인원을 등록해야 한다.","STR-003"
"SFR-402","예약 신청/시설 확인","학생","학생은 개인 학습 또는 조별 학습 목적으로 빈 강의실을 최소 하루 전에 사전 신청할 수 있으며, 예약 시간은 최대 2시간 이하여야 한다.","STR-006"
"SFR-403","예약 신청/시설 확인","학생","학생 예약 신청에는 함께 사용하는 학생 수, 학번, 성명이 포함되어야 한다.","STR-007"
"SFR-404","예약 신청/시설 확인","학생, 교수","서버는 예약 신청 최종 시점에 시간 충돌, 같은 사용자 중복 예약, 역할별 최대 시간, 학생 예약의 수용 인원 50% 규칙을 동기화하여 검사해야 한다.","STR-008"
