"기능","학생","교수","관리자","권한 기준"
"현황 조회","O","O","O","로그인 사용자 전체 허용"
"강의실/시설 조회","O","O","O","예약 전 시설 확인 필요"
"학생 예약 신청","O","X","X","학생만 개인/조별 학습 예약 가능"
"교수 예약 신청","X","O","X","교수만 보강/세미나 예약 가능"
"내 예약 조회","O","O","X","본인 예약만 조회"
"내 예약 취소","O","O","X","본인 소유 예약만 취소"
"예약 변경 요청","O","O","X","본인 소유 예약만 예약 시작 1시간 전까지 요청"
"예약 변경 승인/거부","X","X","O","관리자 승인 업무"
"예약 승인/거부","X","X","O","관리자 승인 업무"
"대기 예약 자동 승격 확인","O","O","O","사용자는 본인 승격 결과 조회, 관리자는 승격 후보와 결과 조회"
"기존 예약 일괄 취소","X","X","O","취소 사유 필수"
"강의 시간표 관리","X","X","O","관리자 운영 업무"
"강의실/시설 정보 수정","X","X","O","관리자 운영 업무"
"시설 신고 등록","O","O","O","실사용자와 관리자 신고 허용"
"시설 신고 상태 변경","X","X","O","관리자 처리 업무"
"사용 후 시설 상태 확인","O","O","O","사용자는 본인 예약 종료 후 확인, 관리자는 전체 확인 결과 조회"
"운영 공지 등록/수정","X","X","O","관리자 운영 업무"
"운영 공지 조회","O","O","O","예약 전 공지 확인 필요"
"알림 조회","O","O","O","본인 알림만 조회"
"백업 생성","X","X","O","관리자 허용"
"복구 실행","X","X","O","복구 전 자동 백업 필수"
"감사 로그 조회","X","X","O","운영 점검 용도"
"서버 상태 확인","X","X","O","관리자 운영 기능"
"권한표에 없는 기능","X","X","X","기본 거부"
